字段名,英文名,字段含义,字段约束,数据类型,参考标准,填写规范,,,,,,,,,,,,,
CHGIS_Code,CHGIS 编码,历史地名唯一编码,可选,字符串,CHGIS 地名库,历史地点必填，现代地点按国标编码,,,,,,,,,,,,,
AdminLevel,行政层级,地点隶属行政级别,必选,枚举,CH/Z 9010,国家级 / 省级 / 市级 / 县级 / 乡镇级 / 遗址级,,,,,,,,,,,,,
GeoType,几何类型,空间表达类型,必选,枚举,CH/Z 9010,中心点 / 边界线 / 范围面 / 中心线,,,,,,,,,,,,,
CoordSystem,坐标系,空间坐标系统,必选,字符串,CH/Z 9010,统一使用 CGCS2000（经纬度：WGS84 兼容）,,,,,,,,,,,,,
HistoryAlias,历史别称,不同时期地名,可选,字符串,CHGIS 地名库,分号分隔，标注年代（如 “1912 年称迪化；1953 年称乌鲁木齐”）,,,,,,,,,,,,,
